S No,State,Questions,Option A,Option B,Option C,Option D,Correct Option,Training Tags
1,"Haryana, Rajasthan, Himachal Pradesh",ग्राम संगठन में आरजीबी की बैठक महीने में कितनी बार आयोजित की जानी चाहिए?,2 बैठक,1 बैठक,4 बैठक,6 बैठक,A,"CLF OB:Discussion on CLF formation to Initial Meetings (1 day), VO OB:Village Organization Concept & Management, VO Acct:Village Organization Concept & Management, VF/AW/SS:Village Organization Concept & Management, CLF Acct:CLF EC Meeting & Meeting Process"
2,"Haryana, Rajasthan, Himachal Pradesh",क्लस्टर लेवल फेडरेशन में अध्यक्ष की अनुपस्थिति में आरजीबी बैठक का अध्यक्ष कौन होता है?,ग्राम सरपंच,बाहरी व्यक्ति,सीएलएफ- RGB द्वारा चुना गया आज की बैठक का अध्यक्ष,बीपीएम,D,"""CLF OB:Leadership, Visioning & Planning Exercise"""
3,Haryana,"सोसाइटी अधिनियम के तहत, क्लस्टर लेवल फेडरेशन के पदाधिकारियों को कितने वर्षों के बाद बदला जाना चाहिए?",2.5 वर्ष,1 वर्ष,6 महीने,3 वर्ष,D,"CLF OB:Discussion on CLF formation to Initial Meetings (1 day), ""VO OB:Leadership, Visioning & Planning Exercise"""
4,Rajasthan,"सहकारी अधिनियमों के अनुसार, क्लस्टर लेवल फेडरेशन के पदाधिकारियों को कितने वर्षों के बाद बदलना आवश्यक है?", 2.5 वर्षो में ,5 वर्षो में ,6 वर्षो में ,3.5 वर्षो में ,B,"""CLF OB:Leadership, Visioning & Planning Exercise"""
5,"Haryana, Rajasthan, Himachal Pradesh",ग्राम संगठन में कम से कम कितनी उप-समितियां होनी चाहिए ?,1 उप-समिति,5 उप-समितियां,2 उप-समितियां,3 उप-समितियां,D,"CLF OB:Sub-committees Concept & Management, VO OB:Sub-committees Concept & Management, CLF Acct:CLF Sub Committees"
6,"Haryana, Rajasthan, Himachal Pradesh",क्लस्टर लेवल फेडरेशन में कुल कितने पदाधिकारी होते हैं?,2 पदाधिकारी,3 पदाधिकारी,5 पदाधिकारी,1 पदाधिकारी,C,"""CLF OB:Leadership, Visioning & Planning Exercise"""
7,"Haryana, Rajasthan, Himachal Pradesh",निम्नलिखित पदाधिकारियों में से क्लस्टर लेवल फेडरेशन में वित्तीय लेनदेन के लिए कौन जिम्मेदार होता है?,सचिव,अध्यक्ष,संयुक्त सचिव,कोषाध्यक्ष ,D,"""CLF OB:Leadership, Visioning & Planning Exercise"", CLF Acct:CLF Concept"
8,"Haryana, Rajasthan, Himachal Pradesh",क्लस्टर लेवल फेडरेशन में वार्षिक लेखा परीक्षा (ऑडिट) कराने के लिए मुख्य रूप से कौन पदाधिकारी जिम्मेदार होता है?,कोषाध्यक्ष ,संयुक्त सचिव,अध्यक्ष,सचिव,A,"CLF OB:Audit, ""CLF Acct:Audit, """
9,"Haryana, Rajasthan, Himachal Pradesh",सोसायटी अधिनियम के अनुसार क्लस्टर लेवल फेडरेशन को कम से कम  कितने अंतराल में सामान्य निकाय की बैठक आयोजित करना आवश्यक होता है?,2 वर्षो में,1 वर्षो में,3 वर्षो में,5 वर्षो में,B,"CLF OB:CLF concept & Management, CLF Acct:CLF Concept"
10,"Haryana, Rajasthan, Himachal Pradesh",क्लस्टर लेवल फेडरेशन की आरजीबी बैठक में कम से कम कितने प्रतिशत आरजीबी सदस्यों की उपस्थिति आवश्यक है?,65%,60%,75%,100%,B,"CLF OB:CLF concept & Management, CLF Acct:CLF Concept"
11,"Haryana, Rajasthan, Himachal Pradesh",निम्नलिखित में से क्लस्टर लेवल फेडरेशन में किताबें लिखने के लिए कौन जिम्मेदार होता है?,सीएलएफ अकाउंटेंट ,बीपीएम या सीएलएफ अध्यक्ष,संयुक्त सचिव,डीईओ,A,CLF OB:CLF concept & Management
12,"Haryana, Rajasthan, Himachal Pradesh",क्लस्टर लेवल फेडरेशन के वित्तीय संचालन के लिए किन किन तीन पदाधिकारियों के हस्ताक्षर आवश्यक होते हैं?,"अध्यक्ष, कोषाध्यक्ष, सचिव","अध्यक्ष, कोषाध्यक्ष और क्लस्टर प्रबंधक",कोषाध्यक्ष एवं सचिव,अध्यक्ष एवं सचिव,A,"""CLF OB:Leadership, Visioning & Planning Exercise"", ""CLF Acct:General Body (GB), Executive Committee (EC), Office Bearers (OB)"""
13,"Haryana, Rajasthan, Himachal Pradesh",क्लस्टर लेवल फेडरेशन में मासिक प्रगति रिपोर्ट (एमपीआर) का सत्यापन कौन करता है?,सचिव,मुनीम,एसएचजी,सीआरपी,A,"CLF OB:CLF concept & Management, CLF Acct:CLF Concept"
14,"Haryana, Rajasthan, Himachal Pradesh",क्लस्टर लेवल फेडरेशन के पदाधिकारियों के प्रशिक्षण में कौन से मुख्य विषय शामिल होते हैं?,सीएलएफ प्रबंधन,वित्तीय प्रबंधन,कर्मचारियों का प्रबंधन,उपरोक्त सभी,D,"CLF OB:CLF concept & Management, CLF Acct:CLF Concept"
